,seg,bu,platform,category,line,set,set id,cat 11
1414,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*BDBINT-InterferCharge,PH220020041169,
1415,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*GROWTH-CLI-Growth Incentive Rebates,PH220020041169,
1416,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*KPI-CLIN-KPI Failures Clinical,PH220020041169,
1417,LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252463-MICROBIO M3D ONLINE CONNECTION,PH211100441341,
1418,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),343276-FACSCalibur 4 Color Remanufactured NS,PH220020041169,
1419,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),400017410-BD FACSVia Flow Cytometer,PH220020041169,
1420,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),4472201-FACSCANTO II FLOW CYTOMETR ASSETS NP,PH220020041169,
1421,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),4474210-ATIVO FIXO FACSCALIBUR 4 CORES,PH220020041169,
1422,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),4515113-BD FACS/LYSE WASH ASSISTANT,PH220020041169,
1423,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),641548-FACSCanto RUO Remanufactured,PH220020041169,
1424,LS,BDB,SPA Options,SPA Options,SPA Options,650686-BD FACS SPA III (337170 Upgraded),PH220020041180,
1425,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),656285-INSTALLMENT BILLING,PH220020041169,
1426,LS,BDB,Research Instruments,Accuri,Accuri Options,657214-FLOWCYT C5 3BLUE W/WRKSTN and SW BNDL,PH220070041036,
1427,LS,IDS,Specimen Acquisition,ABG,ABG Conventional,ABG Conventional - Adjustment,PH210900441204,
1428,LS,IDS,Specimen Acquisition,ABG,ABG Safety,ABG Safety - Adjustment,PH210900441206,
1429,LS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options - PC Adjustment,PH220070041018,
1430,LS,BDB,Research Instruments,Accuri,Accuri Sampler,Accuri Sampler - PC Adjustment,PH220070041034,
1431,LS,IDS,Microbiology,Industrial Microbiology,Additives,Additives Adjustment,PH211100441336,
1432,LS,IDS,Molecular Diagnostics,Affirm,Affirm Instr - Sale,Affirm Instr - Sale Adjustment,PH211100141044,
1433,LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse UltraFill Pre-Attached,Eclipse UltraFill Pre-Attached,PH210900441277,
1434,LS,IDS,Molecular Diagnostics,Affirm,Affirm Reagents,Affirm Reagents Adjustment,PH211100141050,
1435,LS,IDS,Specimen Acquisition,Wingsets,Emerging Market Wingsets,Emerging Market Wingsets,PH210900441280,
1436,LS,IDS,Molecular Diagnostics,BD MAX,All Other BD MAX,All Other BD MAX - Adjustment,PH211100141104,
1437,LS,IDS,Cancer,Cytology,All Other Instruments,All Other Instruments Adjustment,PH211800041016,
1438,LS,IDS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,All Other Lab Automation Instruments Adjustment,PH211146041013,
1439,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,All Other Microbiology Adjustment,PH211100441313,
1440,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology Fees/Incentives,All Other Microbiology Fees/Incentives,PH211100441378,
1441,LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS - Adjustment,PH210900341163,
1442,LS,IDS,Microbiology,Other Core Micro,Anaerobics,Anaerobics Adjustment,PH211100441184,
1443,LS,BDB,Clinical Instruments,FACSCount,FACSCount Instrument,FACSCount Instrument,PH220020041127,
1444,LS,IDS,Microbiology,Blood Culture,BACTEC FX Instr - Sale,BACTEC FX Instr - Sale Adjustment,PH211100441239,
1445,LS,IDS,Lab Specimen Management,Tubes - Chemistry,Barricor,Barricor - Adjustment,PH210900141024,
1446,LS,BDB,Research Instruments,FACSJazz,FACSJazz Instrument,FACSJazz Instrument,PH220070041045,
1447,LS,IDS,Molecular Diagnostics,BD COR,BD COR STI Reagents,BD COR STI Reagents - Adjustment,PH211100141124,
1448,LS,BDB,Clinical Instruments,FACSLyric,FACSLyric Instrument,FACSLyric,PH220020041134,
1449,LS,IDS,Diagnostic Systems Other,Diagnostic Systems Other,Diagnostic Systems Other,BD Professional Services,PH221100541358,
1450,LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,BD Professional Services,PH210900341206,
1451,LS,BDB,Single Cell Multiomics,SCM Reagents,BD Rhapsody Targeted Panels,BD Rhapsody Targeted Panels - PC Adjustment,PH220010041002,
1452,LS,IDS,Lab Specimen Management,Microtainer/Lancets,BD Sentry Lancets,BD Sentry Lancets - Adjustment,PH210900441230,
1453,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,BD Viper NP,BD Viper Fees/Incentives Adjustment,PH211100141130,
1454,LS,BDB,Cell Analysis Direct Non-Allocated,HFM Tie Out (BDB),HFM Tie Out (BDB),BDB HFM Tie Out,PH220060041033,
1455,LS,BDB,Clinical Instruments,FACSVia,FACSVia Sampler,FACSVia Sampler,PH220020041146,
1456,LS,BDB,Cell Analysis Direct Non-Allocated,DO NOT USE - BDB Placeholder for data entry error,BDB Unknown Products,BDB Unknown Products,BDB_UNKNOWN_PRODUCT_PS,
1457,LS,BDB,Research Instruments,FACSymphony Analyzers,FACSymphony Sorp Dual Instrument,FACSymphony Sorp Dual Instrument,PH220070041056,
1458,LS,IDS,Microbiology,Blood Culture,Blood Culture Fees/Incentives,Blood Culture Fees/Incentives,PH211100441357,
1459,LS,IDS,Lab Specimen Management,Urine,Bulk Tubes,Bulk Tubes - Adjustment,PH210900141112,
1460,LS,BDB,Clinical Reagents,Cancer Reagents,Cancer,Cancer - Adjustment,PH220020041107,
1461,LS,BDB,Clinical Reagents,Cancer Reagents,Cancer - EuroFlow Single Color,Cancer - EuroFlow Single Color - PC Adjustment,PH220050041070,
1462,LS,BDB,Clinical Reagents,Cancer Reagents,Cancer - OneFlow,Cancer - OneFlow - PC Adjustment,PH220050041052,
1463,LS,BDB,Clinical Reagents,Cancer Reagents,Cancer,Cancer - PC Adjustment,PH220050041053,
1464,LS,IDS,Cancer,Cytology,FocalPoint Instr - Plcmt,FocalPoint GS Placement,PH211800041038,
1465,LS,IDS,Lab Specimen Management,Informatics & Services,CAP,CAP_Service - Adjustment,PH210900341199,
1466,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary All Other,Capillary All Other - Adjustment,PH210900141000,
1467,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary Microtainer,Capillary Microtainer - Adjustment,PH210900141003,
1468,LS,BDB,Advanced Bioprocessing,CD Supplements,CD Supplements,CD Supplements Powder,PH211100741003,
1469,LS,IDS,Microbiology,Clinical Media,CHROMagar Royalty,CHROMagar Royalty,PH211100441358,
1470,LS,BDB,Clinical Instruments,Clinical Instruments - PC Adjustment,Clinical Instruments - PC Adjustment,Clinical Instruments - PC Adjustment,PH220020041000,
1471,LS,BDB,Clinical Reagents,Clinical Reagents - PC Adjustment,Clinical Reagents - PC Adjustment,Clinical Reagents - PC Adjustment,PH220050041000,
1472,LS,IDS,Lab Specimen Management,Urine,Collection Devices,Collection Devices - Adjustment,PH210900141114,
1473,LS,IDS,Specimen Acquisition,Devices,Conv Direct Access All Other,Conv Direct Access All Other - Adjustment,PH210900441209,
1474,LS,IDS,Microbiology,Other Core Micro,Core Micro Fees /Incentives,Core Micro Other Clinical Misc,PH211100441354,
1475,LS,IDS,Lab Specimen Management,Urine,Cup Kits,Cup Kits - Adjustment,PH210900141116,
1476,LS,BDB,Clinical Reagents,Custom Clinical Reagents,Custom - CTT CM,Custom - CTT CM - PC Adjustment,PH220050041054,
1477,LS,BDB,Clinical Reagents,Custom Clinical Reagents,Custom - OC Customs,Custom - OC Customs - PC Adjustment,PH220050041055,
1478,LS,BDB,Cytognos,Cytognos - PC Adjustment,Cytognos - PC Adjustment,Cytognos - PC Adjustment,PH220055041000,
1479,LS,BDB,Cytognos,Cytognos Software,Cytognos Infinicyt,Cytognos Infinicyt PC Adj,PH220055041033,
1480,LS,BDB,Cytognos,Cytognos Reagents,Cytognos MRD,Cytognos MRD PC Adj,PH220055041030,
1481,LS,BDB,Cytognos,Cytognos Reagents,Cytognos Other Reagents,Cytognos Other Reagents PC Adj,PH220055041031,
1482,LS,IDS,Microbiology,Industrial Microbiology,DCM,DCM Adjustment,PH211100441333,
1483,LS,IDS,Lab Specimen Management,Tubes - Coagulation,GT Citrate,GT Citrate,PH210900141028,
1484,LS,IDS,Diagnostic Systems Other,Diagnostic Systems Other,Diagnostic Systems Other,Diagnostic Systems Other Adjustment,PH221100541355,
1485,LS,BDB,Cell Analysis Direct Non-Allocated,DO NOT USE - BDB Placeholder for data entry error,DO NOT USE - BDB Placeholder for data entry error,DO NOT USE - BDB Placeholder for data entry error,PH220060041035,
1486,LS,IDS,Specimen Acquisition,Needles,Eclipse Signal Needle,Eclipse Signal Needle - Adjustment,PH210900441240,
1487,LS,IDS,Specimen Acquisition,Needles,Eclipse Signal Needle Pre-Attached,Eclipse Signal Needle Pre-Attached - Adjustment,PH210900441241,
1488,LS,IDS,Informatics,Informatics,Epicenter,Epicenter Service,PH211100641001,
1489,LS,BDB,Research Instruments,FACSAria,FACSAria Fusion Instrument,FACSAria Fusion Instrument Adjustment,PH220070041014,
1490,LS,BDB,Research Instruments,FACSAria,FACSAria Instrument,FACSAria Instrument Adjustment,PH220070041013,
1491,LS,BDB,Research Instruments,FACSAria,FACSAria Options,FACSAria Options - PC Adjustment,PH220070041033,
1492,LS,BDB,Clinical Instruments,FACSCanto,FACSCanto Options,FACSCanto Options - PC Adjustment,PH220020041203,
1493,LS,BDB,Research Instruments,FACSCelesta,FACSCelesta HTS,FACSCelesta HTS - PC Adjustment,PH220070041032,
1494,LS,BDB,Research Instruments,FACSCelesta,FACSCelesta Options,FACSCelesta Options - PC Adjustment,PH220070041031,
1495,LS,BDB,Clinical Reagents,Closed System HIV,FACSCount,FACSCount - PC Adjustment,PH220050041056,
1496,LS,BDB,Clinical Instruments,FACSCount,FACSCount Options,FACSCount Options - PC Adjustment,PH220020041204,
1497,LS,BDB,Clinical Instruments,FACSDuet,FACSDuet Options,FACSDuet Options - PC Adjustment,PH220020041205,
1498,LS,BDB,Research Instruments,FACSJazz,FACSJazz Options,FACSJazz Options - PC Adjustment,PH220070041030,
1499,LS,BDB,Clinical Instruments,FACSLyric,FACSLyric Instrument,FACSLyric Instrument Adjustment,PH220020041154,
1500,LS,BDB,Clinical Instruments,FACSLyric,FACSLyric Loader,FACSLyric Loader - PC Adjustment,PH220020041206,
1501,LS,BDB,Clinical Instruments,FACSLyric,FACSLyric Options,FACSLyric Options - PC Adjustment,PH220020041207,
1502,LS,BDB,Research Instruments,FACSMelody,FACSMelody Options,FACSMelody Options - PC Adjustment,PH220070041029,
1503,LS,BDB,Clinical Reagents,Closed System HIV,FACSPresto,FACSPresto - PC Adjustment,PH220050041057,
1504,LS,BDB,Clinical Instruments,FACSPresto,FACSPresto Instrument,FACSPresto Instrument - PC Adjustment,PH220020041208,
1505,LS,BDB,Research Instruments,FACSVerse,FACSVerse Instrument,FACSVerse Instrument - PC Adjustment,PH220070041028,
1506,LS,BDB,Research Instruments,FACSVerse,FACSVerse Options,FACSVerse Options - PC Adjustment,PH220070041027,
1507,LS,BDB,Clinical Instruments,FACSVia,FACSVia Options,FACSVia Options - PC Adjustment,PH220020041210,
1508,LS,BDB,Clinical Instruments,FACSVia,FACSVia Sampler,FACSVia Sampler - PC Adjustment,PH220020041211,
1509,LS,BDB,Research Instruments,FACSymphony Analyzers,FACSymphony Other Options and Upgrades,FACSymphony Other Options and Upgrades - PC Adjustment,PH220070041026,
1510,LS,BDB,FlowJo,FlowJo - PC Adjustment,FlowJo - PC Adjustment,FlowJo - PC Adjustment,PH220090041006,
1511,LS,BDB,Clinical Reagents,Fluids/QC Reagents,Fluids/QC Reagents,Fluids/QC Reagents - PC Adjustment,PH220050041058,
1512,LS,IDS,Cancer,Cytology,FocalPoint Instr - Sale,FocalPoint GS Instr - Sale Adjustment,PH211800041018,
1513,LS,IDS,Lab Specimen Management,Tubes - Coagulation,GT Citrate,GT Citrate - Adjustment,PH210900141029,
1514,LS,IDS,Lab Specimen Management,Tubes - Hematology,GT EDTA,GT EDTA - Adjustment,PH210900141032,
1515,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Glucose,GT Glucose - Adjustment,PH210900141035,
1516,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Heparin,GT Heparin - Adjustment,PH210900141036,
1517,LS,IDS,Lab Specimen Management,Tubes - Other,GT Other Glass Tubes,GT Other Glass Tubes - Adjustment,PH210900141045,
1518,LS,IDS,Lab Specimen Management,Tubes - Chemistry,GT Serum,GT Serum - Adjustment,PH210900141053,
1519,LS,BDB,Advanced Bioprocessing,HFM Tie Out (AB),HFM Tie Out (AB),HFM Tie Out (AB),PH211100741011,
1520,LS,BDB,Clinical Instruments,HFM Tie Out (C Inst),HFM Tie Out (C Inst),HFM Tie Out (C Inst),PH220020041151,
1521,LS,BDB,Clinical Reagents,HFM Tie Out (C Rgts),HFM Tie Out (C Rgts),HFM Tie Out (C Rgt),PH220020041152,
1522,LS,BDB,Research Instruments,HFM Tie Out (R Inst),HFM Tie Out (R Inst),HFM Tie Out (R Inst),PH220070041057,
1523,LS,BDB,Service,HFM Tie Out (Service),Service Misc,HFM Tie Out (Service),PH220030041015,
1524,LS,BDB,Clinical Reagents,Open System HIV,Single Color Open System HIV,HIV - Adjustment,PH220020041161,
1525,LS,BDB,Clinical Reagents,Open System Transplant,HLA-B27,HLA-B27 - PC Adjustment,PH220050041059,
1526,LS,IDS,Molecular Diagnostics,BD MAX,MAX Instr - Plcmt,MAX6 Ind Instr Plmt,PH211100141122,
1527,LS,IDS,Microbiology,ID/AST,ID/AST Fees/Incentives,ID/AST Fees/Incentives,PH211100441377,
1528,LS,IDS,Lab Automation,Lab Automation,IdentifA - Plcmt,IdentifA SA - Plcmt,PH211146041028,
1529,LS,IDS,DS Direct Non-Allocated,DO NOT USE - DS Placeholder for data entry error,IDS Unknown Products,IDS Unknown Products,IDS_UNKNOWN_PRODUCT_PS,
1530,LS,IDS,Lab Automation,Lab Automation,Lab Automation Software,Imaging Software,PH211146041021,
1531,LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Immuno Micro Adj/Expenses,PH211100441310,
1532,LS,IDS,Microbiology,Industrial Microbiology,Industrial Microbiology NP,Indus Micro Adj/Exp,PH211100441353,
1533,LS,BDB,Research Instruments,INFLUX,Influx,Influx - PC Adjustment,PH220070041025,
1534,LS,BDB,Research Instruments,INFLUX,Influx Options,Influx Options - PC Adjustment,PH220070041024,
1535,LS,IDS,Informatics,Informatics,Other Informatics,Informatics Adjustment,PH211100441297,
1536,LS,IDS,Lab Specimen Management,Urine,Kit Complete,Kit Complete - Adjustment,PH210900141121,
1537,LS,IDS,Microbiology,Other Core Micro,Lab Reagents,Lab Reagents Adjustment,PH211100441196,
1538,LS,BDB,Clinical Reagents,Open System Transplant,Leucocount,Leucocount - PC Adjustment,PH220050041060,
1539,LS,IDS,Cancer,Cytology,SurePath LBC Reagents,Liquid Based Cytology Other Adjustment,PH211800041027,
1540,LS,IDS,Cancer,Cytology,SurePath LBC Reagents,Liquid Based Cytology Reagents Adjustment,PH211800041022,
1541,LS,IDS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Liquid Media - Industrial Adjustment,PH211100441322,
1542,LS,BDB,Research Instruments,LSR/Fortessa,LSR/Fortessa Options,LSR/Fortessa Options - PC Adjustment,PH220070041023,
1543,LS,BDB,Clinical Instruments,Lyse Wash Assistant,LWA,LWA - PC Adjustment,PH220020041212,
1544,LS,BDB,Clinical Instruments,Lyse Wash Assistant,LWA Options,LWA Options - PC Adjustment,PH220020041213,
1545,LS,IDS,Molecular Diagnostics,BD MAX,MAX Enteric,MAX Enteric - Adjustment,PH211100141108,
1546,LS,IDS,Molecular Diagnostics,BD MAX,MAX GBS,MAX GBS - Adjustment,PH211100141119,
1547,LS,IDS,Molecular Diagnostics,BD MAX,MAX MRSA,MAX MRSA - Adjustment,PH211100141094,
1548,LS,IDS,Molecular Diagnostics,BD MAX,MAX Other Consumables,MAX Other Consumables - Adjustment,PH211100141101,
1549,LS,IDS,Molecular Diagnostics,BD MAX,MAX Respiratory,MAX Respiratory - Adjustment,PH211100141099,
1550,LS,IDS,Molecular Diagnostics,BD MAX,MAX SARS-CoV,MAX SARS-CoV - Adjustment,PH211100141168,
1551,LS,IDS,Microbiology,Microbiology - PC Adjustment,Microbiology - PC Adjustment,Microbiology - PC Adjustment,PH211100441379,
1552,LS,IDS,Microbiology,Industrial Microbiology,MicroCount Instruments,MicroCount Instruments Adjustment,PH211100441349,
1553,LS,BDB,Clinical Reagents,Open System Immune Monitoring,TriTest/Simultest Immune Monitoring,Open System Tri/Simul Test Immune Monitoring - TriTest,PH220050041046,
1554,LS,IDS,Microbiology,Industrial Microbiology,MicroCount Reagents,MicroCount Reagents Adjustment,PH211100441352,
1555,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Microtainer Map,Microtainer Map - Adjustment,PH210900141005,
1556,LS,IDS,Microbiology,ID/AST,Misc ID and AST,Misc Hardware,PH211100441272,
1557,LS,IDS,Microbiology,ID/AST,Misc ID and AST,Misc ID and AST Adjustment,PH211100441280,
1558,LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,Misc Industrial Microbiology Adjustment,PH211100441346,
1559,LS,IDS,Lab Specimen Management,CBP,Molecular CPT,Molecular CPT - Adjustment,PH210900241127,
1560,LS,IDS,Lab Specimen Management,CBP,Molecular PPT,Molecular PPT - Adjustment,PH210900241129,
1561,LS,BDB,Research Instruments,FACSDiscover S8,FACSDiscover S8 Instrument,Mosaic Instrument - Sorter - PC Adjustment,PH220070041021,
1562,LS,BDB,Research Instruments,FACSDiscover S8,FACSDiscover S8 Options,Mosaic Options - Sorter - PC Adjustment,PH220070041020,
1563,LS,IDS,Cancer,Cytology,MultiProcessor Instr - Sale,MultiProcessor Instr - Sale Adjustment,PH211800041003,
1564,LS,BDB,Clinical Reagents,Open System HIV,Multitest HIV,Multitest HIV - PC Adjustment,PH220050041061,
1565,LS,BDB,Clinical Reagents,Open System Immune Monitoring,Multitest Immune Monitoring,Multitest Immune Monitoring - PC Adjustment,PH220050041062,
1566,LS,IDS,Specimen Acquisition,Needles,Needles Flashback,Needles Flashback - Adjustment,PH210900441244,
1567,LS,IDS,Specimen Management Other,Specimen Management Other,Non Product SM,Non Product SM - Adjustment,PH210900341197,
1568,LS,BDB,Research Reagents,Research Core Non-Sirigen,Non Sirigen - Cell Signal Cancer (Flow Cytometry),Non Sirigen - Cell Signal Cancer (Flow Cytometry) - PC Adjus,PH220080041098,
1569,LS,IDS,Cancer,Cytology,Non-GYN,Non-GYN Adjustment,PH211800041034,
1570,LS,BDB,Research Reagents,Custom Research Reagents,Non-Sirigen - High Parameter,Non-Sirigen - High Parameter - PC Adjustment,PH220080041103,
1571,LS,BDB,Research Reagents,Research Core Non-Sirigen,Non-Sirigen - OptiBuild,Non-Sirigen - OptiBuild - PC Adjustment,PH220080041073,
1572,LS,IDS,Lab Specimen Management,Other Lab Specimen Management,Other ASM,Other ASM - Adjustment,PH210900141016,
1573,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical) - PC Adjustment,PH220020041214,
1574,LS,IDS,Specimen Acquisition,Needles,Other Needles,Other Needles - Adjustment,PH210900441250,
1575,LS,BDB,Clinical Reagents,Other Reagents,Other Reagents,Other Reagents - PC Adjustment,PH220050041063,
1576,LS,BDB,Service,Other Services,Other Services,Other Services - PC Adjustment,PH220030041010,
1577,LS,IDS,Lab Specimen Management,Tubes - Other,Other Tubes & Kits,Other Tubes & Kits,PH210900141019,
1578,LS,IDS,Lab Specimen Management,Tubes - Other,Other Tubes & Kits,Other Tubes & Kits - Adjustment,PH210900141020,
1579,LS,IDS,Lab Specimen Management,CBP,P100,P100 - Adjustment,PH210900241145,
1580,LS,IDS,Lab Specimen Management,CBP,P800,P800 - Adjustment,PH210900241154,
1581,LS,IDS,Lab Specimen Management,PAXgene,PAX Blood DNA,PAX Blood DNA - Adjustment,PH210900241133,
1582,LS,IDS,Lab Specimen Management,PAXgene,PAX Blood RNA,PAX Blood RNA - Adjustment,PH210900241135,
1583,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),PC_10765-SJ Rgt Royalty Inc,PH220020041169,
1584,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),PC_10770-Instr-Instru Adj/Exp,PH220020041169,
1585,LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),PC_10775-Instr-RgtRental Inst,PH220020041169,
1586,LS,BDB,Research Instruments,Accuri,Accuri Options,PC_10831-Instr-Accuri Spares,PH220070041036,
1587,LS,BDB,Research Instruments,Accuri,Accuri Options,PC_10833-Instr-Accuri Com&Sft,PH220070041036,
1588,LS,BDB,Research Instruments,Accuri,Accuri Options,PC_10963-Accuri Instrument,PH220070041036,
1589,LS,BDB,Clinical Instruments,FACSVia,FACSVia Options,PC_11119-FACSVia Instrument,PH220020041145,
1590,LS,BDB,Research Instruments,Accuri,Accuri Options,PC_EMU-Accuri Spares,PH220070041036,
1591,LS,IDS,Microbiology,Clinical Media,Plated Media - Clinical,Plated Media - Clinical Adjustment,PH211100441168,
1592,LS,IDS,Microbiology,Industrial Microbiology,Plated Media - Industrial,Plated Media - Industrial Adjustment,PH211100441317,
1593,LS,IDS,Point of Care,Point of Care,Base Point of Care NP,POC SD/China Adj/Exp,PH211100341129,
1594,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Instr - Sale,ProbeTec Viper Instr - Sale - Adjustment,PH211100141058,
1595,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Reagents,ProbeTec Viper Reagents - Adjustment,PH211100141065,
1596,LS,BDB,Clinical Reagents,Open System Controls,Process Controls,Process Controls - PC Adjustment,PH220050041064,
1597,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Instr - Plcmt,ProbeTecET Inst - Placements,PH211100141078,
1598,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Instr - Sale,ProbeTecET Inst - Sales,PH211100141055,
1599,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,Sample Processing/Collection,ProbeTecET Sample Prep/Collection,PH211100141068,
1600,LS,IDS,Lab Specimen Management,Informatics & Services,ProTube Other,ProTube Service,PH210900141128,
1601,LS,IDS,Lab Specimen Management,Tubes - Coagulation,PT Citrate,PT Citrate - Adjustment,PH210900141073,
1602,LS,IDS,Lab Specimen Management,Tubes - Hematology,PT EDTA,PT EDTA - Adjustment,PH210900141076,
1603,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Glucose,PT Glucose - Adjustment,PH210900141080,
1604,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Heparin,PT Heparin - Adjustment,PH210900141084,
1605,LS,IDS,Lab Specimen Management,Tubes - Other,PT Other Plastic Tubes,PT Other Plastic Tubes - Adjustment,PH210900141087,
1606,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT PST,PT PST - Adjustment,PH210900141093,
1607,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Glucose,PT Glucose,PH210900141079,
1608,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Rapid Serum Tube,PT Rapid Serum Tube - Adjustment,PH210900141094,
1609,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT Serum,PT Serum - Adjustment,PH210900141098,
1610,LS,IDS,Lab Specimen Management,Tubes - Chemistry,PT SST,PT SST - Adjustment,PH210900141101,
1611,LS,BDB,Service,Technical Support Service,Reagent Rentals Alloc,Reagent Rentals Alloc,PH220030041023,
1612,LS,BDB,Research Instruments,Other Instrument Revenue (Research),Research Instrument Royalties,Research Instrument Royalties,PH220070041114,
1613,LS,BDB,Research Instruments,Research Instruments - PC Adjustment,Research Instruments - PC Adjustment,Research Instruments - PC Adjustment,PH220070041000,
1614,LS,IDS,Lab Automation,Lab Automation,ReadA - Plcmt,ReadA SA - Plcmt,PH211146041035,
1615,LS,BDB,Research Reagents,Research Reagents - PC Adjustment,Research Reagents - PC Adjustment,Research Reagents - PC Adjustment,PH220080041000,
1616,LS,BDB,Service,Services - Genomics,Research Service,Research Service - Gencell,PH220030041020,
1617,LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Reusable Holders,Reusable Holders - Adjustment,PH210900441223,
1618,LS,BDB,Service,Services - Genomics,Rhapsody - Service,Rhapsody - Service,PH220030041021,
1619,LS,BDB,Single Cell Multiomics,SCM Instruments,Rhapsody Express,Rhapsody Express System - PC Adjustment,PH220010041016,
1620,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Safety - Quickheel,Safety - Quickheel - Adjustment,PH210900441235,
1621,LS,IDS,Specimen Acquisition,Devices,Safety BTD,Safety BTD - Adjustment,PH210900441215,
1622,LS,IDS,Lab Specimen Management,Microtainer/Lancets,Safety Capillary Lancets,Safety Capillary Lancets - Adjustment,PH210900441238,
1623,LS,IDS,Specimen Acquisition,Devices,Safety Luer Lok Access,Safety Luer Lok Access - Adjustment,PH210900441218,
1624,LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse,Safety Needle Eclipse - Adjustment,PH210900441252,
1625,LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse Pre-Attached,Safety Needle Eclipse Pre-Attached - Adjustment,PH210900441254,
1626,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS,Safety Wingset PBBCS - Adjustment,PH210900441265,
1627,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS Pre-Attached,Safety Wingset PBBCS Pre-Attached - Adjustment,PH210900441267,
1628,LS,BDB,Single Cell Multiomics,SCM Instruments,Rhapsody HT Xpress,Rhapsody HT Xpress Standalone,PH220010041010,
1629,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset PBBCS UltraTouch,Safety Wingset PBBCS UltraTouch - Adjustment,PH210900441269,
1630,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset SLBCS,Safety Wingset SLBCS - Adjustment,PH210900441272,
1631,LS,IDS,Specimen Acquisition,Wingsets,Safety Wingset SLBCS Pre-Attached,Safety Wingset SLBCS Pre-Attached - Adjustment,PH210900441274,
1632,LS,IDS,Molecular Diagnostics,ProbeTec/Viper,Sample Processing/Collection,Sample Processing/Collection - Adjustment,PH211100141071,
1633,LS,BDB,Single Cell Multiomics,scM Royalties,scM Royalties,scM Royalties,PH220010041004,
1634,LS,IDS,Microbiology,ID/AST,Sensi Disc,Sensi Disc Adjustment,PH211100441266,
1635,LS,BDB,Service,Technical Support Service,Service Contract,Service Contract - PC Adjustment,PH220030041013,
1636,LS,IDS,Service,Lab Automation Service,Lab Automation Service,Service Contracts,PH211146041018,
1637,LS,BDB,Service,Services - PC Adjustment,Services - PC Adjustment,Services - PC Adjustment,PH220030041000,
