SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID,"Exemplar Product 
(Use)",,,
LS,IDS,Molecular Diagnostics,BD COR,BD COR GX/MX Instr - Plcmt,BD COR GX/MX Instr - Plcmt,PH211100141001,,,,BACTEC FX machine
LS,BDB,Cytognos,Cytognos Reagents,Cytognos Immunology,Cytognos AT4C,PH220055041007,,,,BACTEC FX vials
LS,BDB,Clinical Instruments,FACSCanto,FACSCanto Options,FACSCanto HTS,PH220020041122,,,,ROWA Vmax 160
LS,IDS,Cancer,Cytology,PrepStain Instr - Sale,PrepStain Instr Sales,PH211800041007,,,,Pyxis
LS,BDB,Research Reagents,Sirigen OEM Dye Sales / Royalties,Sirigen OEM Dye Sales,Sirigen Brilliant Yellow Green,PH220080041110,,,,BACTEC FX vials
LS,BDB,Clinical Reagents,Cancer Reagents,Cancer,CAN Quantibrite,PH220020041103,,,,BACTEC FX vials
LS,IDS,Lab Automation,Lab Automation,TMT - TLA - Sale,TMT - TLA - Sale,PH211146041019,,,,ROWA Vmax 160
LS,IDS,Microbiology,ID/AST,Phoenix AP Instr - Plcmt,Phoenix AP Placement,PH211100441288,,,,Pyxis
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,ProbeTecET Ancillary Equipment,PH211100141077,,,,Purewick device
LS,BDB,Cytognos,Cytognos Reagents,Cytognos MRD,Cytognos CTPC,PH220055041015,,,,BACTEC FX vials
LS,IDS,Molecular Diagnostics,BD COR,BD COR PX Instr - Plcmt,BD COR Instr - Plcmt,PH211100141137,,,,BACTEC FX machine
LS,BDB,SPA Options,SPA Options,SPA Options,663270-Medimachine II,PH220020041180,,,,Purewick device
LS,BDB,Research Instruments,FACSMelody,FACSMelody Options,Computers & Software (Research),PH220070041082,,,,Purewick device
LS,BDB,Research Instruments,FACSCelesta,FACSCelesta Options,FACSCelesta Options,PH220070041044,,,,Pyxis
LS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue MTS,RB705 MTS,PH220080041064,,,,BACTEC FX vials
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),665976-FACSCanto Lease,PH220020041169,,,,Pyxis
LS,IDS,Microbiology,ID/AST,Phoenix 100 Instr - Plcmt,Phoenix 100 Placements,PH211100441285,,,,Hypak for Antico
LS,BDB,Research Instruments,Accuri,Accuri Instrument RR,Accuri Instrument RR,PH220070041015,,,,Pyxis
LS,IDS,Cancer,Cytology,SurePath LBC Reagents,Liquid Based Cytology Adj/Exp,PH211800041023,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,FACSCanto,FACSCanto Instrument RR,FACSCanto Instrument RR,PH220020041121,,,,ROWA Vmax 160
LS,BDB,Clinical Instruments,FACSVia,FACSVia Instrument,FACSVia Instrument,PH220020041143,,,,Pyxis
LS,IDS,Lab Automation,Lab Automation,IdentifA - Sale,IdentifA SA - Sale,PH211146041027,,,,BACTEC FX vials
LS,IDS,Microbiology,ID/AST,Phoenix 100 Instr - Sale,Phoenix 100 - Sales,PH211100441246,,,,Hypak for Antico
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Instr - Plcmt,Viper LT Inst - Placements,PH211100141080,,,,Pyxis
LS,IDS,Specimen Management Other,Specimen Management NP,Specimen Management NP,BDPAS OPR EXP,PH210900341202,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,Accuri,Accuri Options,664021-Software C6 Plus and CSampler Plus,PH220070041036,,,,SOFTWARE
LS,IDS,Molecular Diagnostics,BD GeneOhm,GeneOhm Smartcycler,GeneOhm Instrument Ancilaries,PH211100141089,,,,Veritor assays
LS,IDS,Cancer,Cytology,PrepStain Instr - Plcmt,PrepStain Placement,PH211800041010,,,,Pyxis
LS,BDB,Single Cell Multiomics,SCM Reagents,BD Rhapsody Reagent Kits,BD Rhapsody Reagent Kits,PH220080041102,,,,BACTEC FX vials
LS,BDB,Research Instruments,Accuri,Accuri Options,664022-Software C6 Plus Analysis PC-Mac OS,PH220070041036,,,,SOFTWARE
LS,IDS,Service,Lab Automation Service,Lab Automation Service,Service Labor,PH211146041016,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),CJW-HL5KPS-ZKY-Power Supply Hongle 5KVA,PH220020041169,,,,Veritor device
LS,BDB,Clinical Instruments,FACSDuet,FACSDuet Premium Upgrade Kit,FACSDuet Premium Upgrade Kit,PH220020041217,,,,Pyxis
LS,IDS,Cancer,Cytology,FocalPoint Instr - Sale,FocalPoint Sales,PH211800041004,,,,Pyxis
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),665977-FACSCalibur Lease,PH220020041169,,,,Pyxis
LS,BDB,Research Instruments,Accuri,Accuri Options,661535-C6 Plus Starter Kit,PH220070041036,,,,Purewick canister & tubing
LS,BDB,Clinical Instruments,FACSCalibur,FACSCalibur Instrument,FACSCalibur Instrument,PH220020041113,,,,ROWA Vmax 160
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252398-MICROBIO M3D AUTOSCANNER,PH211100441341,,,,BACTEC FX machine
LS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,Computers & Software (Clinical),PH220020041195,,,,Pyxis
LS,BDB,Clinical Instruments,FACSDuet,FACSDuet Premium,FACSDuet Premium,PH220020041199,,,,Pyxis
LS,BDB,Research Instruments,FACSymphony A1,FACSymphony A1 RR,FACSymphony A1 RR,PH220070041113,,,,Pyxis
LS,IDS,Molecular Diagnostics,BD MAX,MAX Respiratory,MAX B.Pert/Parapert,PH211100141098,,,,Veritor assays
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Meningitis,PH211100441302,,,,BACTEC FX vials
LS,BDB,Single Cell Multiomics,SCM Instruments,Rhapsody HT Xpress RR,Rhapsody HT Xpress RR,PH220010041028,,,,Pyxis
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252953-MICROBIOM3D PART11 SOFTWARE,PH211100441341,,,,SOFTWARE
LS,BDB,FlowJo,FlowJo Software,BD Research Cloud,BD Research Cloud,PH220090041001,,,,SOFTWARE
LS,IDS,Informatics,Informatics,Epicenter,Epicenter Other,PH211100441291,,,,SOFTWARE
LS,BDB,Research Instruments,FACSDiscover S8,FACSDiscover S8 Instrument RR,FACSDiscover S8 Instrument RR,PH220070041112,,,,Pyxis
LS,BDB,Clinical Instruments,FACSVia,FACSVia Instrument RR,FACSVia Instrument RR,PH220020041144,,,,Pyxis
LS,IDS,Cancer,Cytology,MultiProcessor Instr - Sale,MultiProcessor- Sales,PH211800041002,,,,Pyxis
LS,IDS,Microbiology,Blood Culture,BACTEC 9000 Instr - Plcmt,BACTEC 9050 Inst - Place,PH211100441242,,,,BACTEC FX machine
LS,IDS,Molecular Diagnostics,BD COR,BD COR GX/MX Instr - Sale,BD COR GX/MX Instr - Sale,PH211100141002,,,,BACTEC FX machine
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252798-MICROBIOM3D TOP BOARD FOR SPOT COOLER,PH211100441341,,,,Powerport
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),344540-REAGENT RENTAL - TITLE TRANSFERS,PH220020041169,,,,Pyxis
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445101-Minicapt Mobile Microbial Sampler 25 LPM,PH211100441341,,,,Purewick device
LS,BDB,SPA Options,SPA Options,SPA Options,665029-Software Kit SPA III Configurator IVD,PH220020041180,,,,SOFTWARE
LS,IDS,Specimen Acquisition,Other Specimen Acquisition,Magnolia Medical Fee Revenue,Magnolia Medical Fee Revenue,PH210900441203,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,FACSDuet,FACSDuet Premium Upgrade Kit RR,FACSDuet Premium Upgrade Kit RR,PH220020041218,,,,Pyxis
LS,BDB,Research Instruments,FACSMelody,FACSMelody Instrument RR,FACSMelody Instrument RR,PH220070041104,,,,Pyxis
LS,BDB,Single Cell Multiomics,SCM Instruments,Rhapsody ALP,Rhapsody ALP,PH220010041030,,,,Pyxis
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Instr - Sale,Viper LT Inst - Sales,PH211100141057,,,,Pyxis
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),400016383-CITOMETRO BD FACSLYRIC 3L10C IVD ATIVOSP,PH220020041169,,,,Pyxis
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252509-MICROBIO M3D AUTOSCANNER EN,PH211100441341,,,,BACTEC FX machine
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252495-MB TRAY 90MM,PH211100441341,,,,Powerport
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445104-Minicapt Isolator Stand 25/50 LPM,PH211100441341,,,,Powerport
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445108-MiniCapt Remote sampling top 25/50 LPM,PH211100441341,,,,Powerport
LS,BDB,Research Instruments,Accuri,Accuri Options,653167-Bottle Decontamination (S/N<2400),PH220070041036,,,,Chloraprep
LS,BDB,Research Instruments,Accuri,Accuri Options,661388-Wash Station,PH220070041036,,,,Chloraprep
LS,BDB,Research Instruments,Accuri,Accuri Options,661083-SW CD Bundle C6 Plus Analysis SW PC MAC,PH220070041036,,,,SOFTWARE
LS,IDS,Molecular Diagnostics,Molecular Diagnostics - PC Adjustment,Molecular Diagnostics - PC Adjustment,Molecular Diagnostics - PC Adjustment,PH211100141158,,,"BU confirms, accounting term",
LS,BDB,Service,Technical Support Service,Service Contract,Other Services,PH220030041024,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,FACSVerse,FACSVerse Options,Computers & Software (Research),PH220070041080,,,,Purewick device
LS,BDB,Research Instruments,FACSVerse,FACSVerse Instrument,FACSVerse Instrument,PH220070041049,,,,Pyxis
LS,IDS,Cancer,Cytology,FocalPoint Instr - Plcmt,FocalPoint Placement,PH211800041039,,,,Pyxis
LS,BDB,Research Instruments,INFLUX,Influx,Influx,PH220070041058,,,,Pyxis
LS,IDS,Lab Automation,Lab Automation,InoqulA+ Instr - Plcmt,InoqulA+ Instr - Plcmt,PH211146041026,,,,ROWA Vmax 160
LS,IDS,Lab Automation,Lab Automation,TMT - TLA - Plcmt,TMT - TLA - Plcmt,PH211146041044,,,,ROWA Vmax 160
LS,IDS,Molecular Diagnostics,BD COR,BD COR PX Instr - Sale,BD COR Instr - Sale,PH211100141123,,,,BACTEC FX machine
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,251934-ATLAS AEROBIC ENDOSPORE FORMING BACTERIA,PH211100441341,,,,BACTEC FX vials
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445111-Minicapt Compressed Gas Kit 100 LPM,PH211100441341,,,,Powerport
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),65116609-IVD Universal Auto Loader Opt Repaired,PH220020041169,,,,Veritor device
LS,BDB,Research Instruments,Accuri,Accuri Options,653126-MODULE FOR SELECTABLE LASERS,PH220070041036,,,,Powerport
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445113-MiniCapt Mobile IQOQ Validation Protocol,PH211100441341,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445114-MiniCapt Mobile IQOQ Protocol Add'l Copy,PH211100441341,,,"BU confirms, accounting term",
LS,IDS,Microbiology,ID/AST,AxDx Fees/Incentives,AxDx Fees/Incentives,PH211100441165,,,"BU confirms, accounting term",
LS,BDB,FlowJo,FlowJo Service,FlowJo Service,FlowJo Service,PH220090041005,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,Hematology Service - Time & Material,PH211100441308,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,FACSymphony Analyzers,FACSymphony A5 SE RR,FACSymphony A5 SE RR,PH220070041106,,,,Pyxis
LS,BDB,Research Instruments,FACSymphony Sorters,FACSymphony Sorter Options and Upgrades,FACSymphony Sorter Options and Upgrades,PH220070041087,,,,Neopak
LS,IDS,Lab Automation,Lab Automation,InoqulA Talon Instr - Plcmt,InoqulA Talon Instr - Plcmt,PH211146041037,,,,ROWA Vmax 160
LS,IDS,Cancer,Cytology,MultiProcessor Instr - Plcmt,MultiProcessor- Placements,PH211800041040,,,,Pyxis
LS,IDS,Lab Automation,Lab Automation,TMT - TLA Upgrade - Sale,TMT - TLA Upgrade - Sale,PH211146041045,,,,ROWA Vmax 160
LS,IDS,Lab Automation,Lab Automation,WCA Instr - Plcmt,WCA Instrument- Plcmt,PH211146041025,,,,ROWA Vmax 160
LS,IDS,Microbiology,Blood Culture,BACTEC 9000 Instr - Sale,BACTEC 9050 Inst - Sales,PH211100441221,,,,BACTEC FX machine
LS,IDS,Microbiology,Blood Culture,BACTEC 9000 Instr - Sale,BACTEC 9120 Inst - Sales,PH211100441220,,,,BACTEC FX machine
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),33714609-BD FACS Lyse Wash Assistant Repaired,PH220020041169,,,,Pyxis
LS,BDB,Clinical Instruments,FACSVia,FACSVia Options,400017411-Bundle Computer Z240SFF FACSVia EU,PH220020041145,,,,Pyxis
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445103-Minicapt Mobile Microbial Sampler 100LPM,PH211100441341,,,,Purewick device
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,445119-MiniCapt 25-50 LPM Head,PH211100441341,,,,Powerport
LS,BDB,Research Instruments,Accuri,Accuri Options,653165-BOTTLE SHEATH (S/N<2400),PH220070041036,,,,Chloraprep
LS,BDB,Research Instruments,Accuri,Accuri Options,658486-Assy C6 Dsp/Control_Sel Pcba,PH220070041036,,,,BACTEC FX vials
LS,BDB,Research Instruments,Accuri,Accuri Options,661738-Computer w/ Inst. Software Accuri C6,PH220070041036,,,,Pyxis
LS,BDB,Clinical Instruments,LAP - Cenglang Mate,Cenglang,Cenglang,PH220020041219,,,,Pyxis
LS,BDB,Research Instruments,Accuri,Accuri Options,664023-Software CSampler Plus Analys PC-Mac OS,PH220070041036,,,,SOFTWARE
LS,BDB,Clinical Instruments,FACSCalibur,FACSCalibur Options,FACSCalibur Loader,PH220020041117,,,,Pyxis
LS,BDB,Clinical Instruments,FACSCanto,FACSCanto Options,FACSCanto Loader RR,PH220020041125,,,,Pyxis
LS,BDB,Research Instruments,FACSDiscover S8,FACSDiscover S8 Options,FACSDiscover S8 Computers & Software,PH220070041017,,,,Veritor device
LS,BDB,Clinical Instruments,FACSDuet,FACSDuet Premium RR,FACSDuet Premium RR,PH220020041200,,,,Pyxis
LS,BDB,Research Instruments,FACSymphony Analyzers,FACSymphony A3 Sorp Instrument RR,FACSymphony A3 Sorp Instrument RR,PH220070041105,,,,Pyxis
LS,BDB,Research Instruments,FACSymphony Sorters,FACSymphony S6,FACSymphony S6 SE,PH220070041016,,,,Pyxis
LS,BDB,Research Instruments,Accuri,Accuri Options,657744-Miscellaneous Accuri Products,PH220070041036,,,,Hypak for Antico
LS,BDB,Clinical Instruments,Sample Prep Assistant,SPA,SPA,PH220020041178,,,,Pyxis
LS,BDB,Clinical Instruments,Sample Prep Assistant,SPA RR,SPA RR,PH220020041181,,,,Pyxis
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,ProbeTec Viper Instr - Sale,Viper XTR Inst - Sales,PH211100141056,,,,ROWA Vmax 160
LS,IDS,Microbiology,Blood Culture,BACTEC 9000 Instr - Plcmt,BACTEC 9240 Inst - Place,PH211100441240,,,,BACTEC FX machine
LS,IDS,Microbiology,Blood Culture,BACTEC 9000 Instr - Plcmt,BACTEC 9120 Inst - Place,PH211100441241,,,,BACTEC FX machine
LS,IDS,Microbiology,Blood Culture,BACTEC 9000 Instr - Sale,BACTEC 9240 Inst - Sales,PH211100441219,,,,BACTEC FX machine
LS,IDS,Molecular Diagnostics,BD MAX,BD MAX NP,BD MAX NP,PH211100141134,,,,Pyxis
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),"*352054-X1000 Round Bottom Test Tube, PS, 5ml, Snap Cap, S - Fisher",PH220020041169,,,BU cannot confirm volume,
LS,IDS,Molecular Diagnostics,BD GeneOhm,GeneOhm Smartcycler,Consumables - Other,PH211100141090,,,,Pyxis
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*3RDPARTYCR-*3RDPARTYCR,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999030999-RRP ACCURI C6,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999050999-RRP CALIBUR 3-COL BASIC,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999053999-RRP CALIBUR 4-COL SORT,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999055999-RRP FACSLYRIC,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999061999-RRP FACSARIA,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999064499-RRP FACSCANTO 10 COLOR,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999064999-RRP FACSCANTO,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999065999-RRP LSR II,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999067999-RRP FACSVERSE,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999704998-RRP LWA PREPPER,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*999704999-RRP SAMPLE PREPPER,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*BDBINT-InterferCharge,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*GROWTH-CLI-Growth Incentive Rebates,PH220020041169,,,neg. rev & vol.,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),*KPI-CLIN-KPI Failures Clinical,PH220020041169,,,neg. rev & vol.,
LS,IDS,Microbiology,Industrial Microbiology,Misc Industrial Microbiology,252463-MICROBIO M3D ONLINE CONNECTION,PH211100441341,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),343276-FACSCalibur 4 Color Remanufactured NS,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),400017410-BD FACSVia Flow Cytometer,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),4472201-FACSCANTO II FLOW CYTOMETR ASSETS NP,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),4474210-ATIVO FIXO FACSCALIBUR 4 CORES,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),4515113-BD FACS/LYSE WASH ASSISTANT,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),641548-FACSCanto RUO Remanufactured,PH220020041169,,,BU cannot confirm volume,
LS,BDB,SPA Options,SPA Options,SPA Options,650686-BD FACS SPA III (337170 Upgraded),PH220020041180,,,BU cannot confirm volume,
LS,BDB,Clinical Instruments,Other Instrument Revenue (Clinical),Other Instrument Revenue (Clinical),656285-INSTALLMENT BILLING,PH220020041169,,,BU cannot confirm volume,
LS,BDB,Research Instruments,Accuri,Accuri Options,657214-FLOWCYT C5 3BLUE W/WRKSTN and SW BNDL,PH220070041036,,,BU cannot confirm volume,
LS,IDS,Specimen Acquisition,ABG,ABG Conventional,ABG Conventional - Adjustment,PH210900441204,,,"BU confirms, accounting term",
LS,IDS,Specimen Acquisition,ABG,ABG Safety,ABG Safety - Adjustment,PH210900441206,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,Accuri,Accuri Options,Accuri Options - PC Adjustment,PH220070041018,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,Accuri,Accuri Sampler,Accuri Sampler - PC Adjustment,PH220070041034,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Industrial Microbiology,Additives,Additives Adjustment,PH211100441336,,,"BU confirms, accounting term",
LS,IDS,Molecular Diagnostics,Affirm,Affirm Instr - Sale,Affirm Instr - Sale Adjustment,PH211100141044,,,"BU confirms, accounting term",
LS,IDS,Specimen Acquisition,Needles,Safety Needle Eclipse UltraFill Pre-Attached,Eclipse UltraFill Pre-Attached,PH210900441277,,,,Safety LOK (Safety Wingset)
LS,IDS,Molecular Diagnostics,Affirm,Affirm Reagents,Affirm Reagents Adjustment,PH211100141050,,,"BU confirms, accounting term",
LS,IDS,Specimen Acquisition,Wingsets,Emerging Market Wingsets,Emerging Market Wingsets,PH210900441280,,,,Safety LOK (Safety Wingset)
LS,IDS,Molecular Diagnostics,BD MAX,All Other BD MAX,All Other BD MAX - Adjustment,PH211100141104,,,"BU confirms, accounting term",
LS,IDS,Cancer,Cytology,All Other Instruments,All Other Instruments Adjustment,PH211800041016,,,"BU confirms, accounting term",
LS,IDS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,All Other Lab Automation Instruments Adjustment,PH211146041013,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology,All Other Microbiology Adjustment,PH211100441313,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Other Microbiology,All Other Microbiology Fees/Incentives,All Other Microbiology Fees/Incentives,PH211100441378,,,"BU confirms, accounting term",
LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,All Other PAS - Adjustment,PH210900341163,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Other Core Micro,Anaerobics,Anaerobics Adjustment,PH211100441184,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,FACSCount,FACSCount Instrument,FACSCount Instrument,PH220020041127,,,,ROWA Vmax 160
LS,IDS,Microbiology,Blood Culture,BACTEC FX Instr - Sale,BACTEC FX Instr - Sale Adjustment,PH211100441239,,,"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Tubes - Chemistry,Barricor,Barricor - Adjustment,PH210900141024,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,FACSJazz,FACSJazz Instrument,FACSJazz Instrument,PH220070041045,,,,Pyxis
LS,IDS,Molecular Diagnostics,BD COR,BD COR STI Reagents,BD COR STI Reagents - Adjustment,PH211100141124,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,FACSLyric,FACSLyric Instrument,FACSLyric,PH220020041134,,,,Pyxis
LS,IDS,Diagnostic Systems Other,Diagnostic Systems Other,Diagnostic Systems Other,BD Professional Services,PH221100541358,,,"BU confirms, accounting term",
LS,IDS,Specimen Management Other,Specimen Management Other,Specimen Management Other,BD Professional Services,PH210900341206,,,"BU confirms, accounting term",
LS,BDB,Single Cell Multiomics,SCM Reagents,BD Rhapsody Targeted Panels,BD Rhapsody Targeted Panels - PC Adjustment,PH220010041002,,,"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Microtainer/Lancets,BD Sentry Lancets,BD Sentry Lancets - Adjustment,PH210900441230,,,"BU confirms, accounting term",
LS,IDS,Molecular Diagnostics,ProbeTec/Viper,BD Viper NP,BD Viper Fees/Incentives Adjustment,PH211100141130,,,"BU confirms, accounting term",
LS,BDB,Cell Analysis Direct Non-Allocated,HFM Tie Out (BDB),HFM Tie Out (BDB),BDB HFM Tie Out,PH220060041033,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,FACSVia,FACSVia Sampler,FACSVia Sampler,PH220020041146,,,,Pyxis
LS,BDB,Cell Analysis Direct Non-Allocated,DO NOT USE - BDB Placeholder for data entry error,BDB Unknown Products,BDB Unknown Products,BDB_UNKNOWN_PRODUCT_PS,,,"BU confirms, accounting term",
LS,BDB,Research Instruments,FACSymphony Analyzers,FACSymphony Sorp Dual Instrument,FACSymphony Sorp Dual Instrument,PH220070041056,,,,Pyxis
LS,IDS,Microbiology,Blood Culture,Blood Culture Fees/Incentives,Blood Culture Fees/Incentives,PH211100441357,,,"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Urine,Bulk Tubes,Bulk Tubes - Adjustment,PH210900141112,,,"BU confirms, accounting term",
LS,BDB,Clinical Reagents,Cancer Reagents,Cancer,Cancer - Adjustment,PH220020041107,,,"BU confirms, accounting term",
LS,BDB,Clinical Reagents,Cancer Reagents,Cancer - EuroFlow Single Color,Cancer - EuroFlow Single Color - PC Adjustment,PH220050041070,,,"BU confirms, accounting term",
LS,BDB,Clinical Reagents,Cancer Reagents,Cancer - OneFlow,Cancer - OneFlow - PC Adjustment,PH220050041052,,,"BU confirms, accounting term",
LS,BDB,Clinical Reagents,Cancer Reagents,Cancer,Cancer - PC Adjustment,PH220050041053,,,"BU confirms, accounting term",
LS,IDS,Cancer,Cytology,FocalPoint Instr - Plcmt,FocalPoint GS Placement,PH211800041038,,,,Pyxis
LS,IDS,Lab Specimen Management,Informatics & Services,CAP,CAP_Service - Adjustment,PH210900341199,,,"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary All Other,Capillary All Other - Adjustment,PH210900141000,,,"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Microtainer/Lancets,Capillary Microtainer,Capillary Microtainer - Adjustment,PH210900141003,,,"BU confirms, accounting term",
LS,BDB,Advanced Bioprocessing,CD Supplements,CD Supplements,CD Supplements Powder,PH211100741003,,,neg. rev & vol.,
LS,IDS,Microbiology,Clinical Media,CHROMagar Royalty,CHROMagar Royalty,PH211100441358,,,"BU confirms, accounting term",
LS,BDB,Clinical Instruments,Clinical Instruments - PC Adjustment,Clinical Instruments - PC Adjustment,Clinical Instruments - PC Adjustment,PH220020041000,,,"BU confirms, accounting term",
LS,BDB,Clinical Reagents,Clinical Reagents - PC Adjustment,Clinical Reagents - PC Adjustment,Clinical Reagents - PC Adjustment,PH220050041000,,,"BU confirms, accounting term",
LS,IDS,Lab Specimen Management,Urine,Collection Devices,Collection Devices - Adjustment,PH210900141114,,,"BU confirms, accounting term",
LS,IDS,Specimen Acquisition,Devices,Conv Direct Access All Other,Conv Direct Access All Other - Adjustment,PH210900441209,,,"BU confirms, accounting term",
LS,IDS,Microbiology,Other Core Micro,Core Micro Fees /Incentives,Core Micro Other Clinical Misc,PH211100441354,,,"BU confirms, accounting term",
